ax,ay,az,gx,gy,gz,mx,my,mx
-0.143652,0.349553,9.50019,0.0106422,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.11971,0.440533,9.45231,0.0042569,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.105345,0.42138,9.57681,0.00851379,0.0127707,0.00744957,9.05449,25.1982,40.827
-0.0191536,0.354342,9.4571,0.00744957,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.148441,0.397437,9.51456,0.00957802,0.0148991,0.00638535,9.05449,25.1982,40.827
-0.158017,0.397437,9.50977,0.00851379,0.0106422,0.00744957,9.05449,25.1982,40.827
-0.0861913,0.3304,9.52413,0.00744957,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.0909797,0.435745,9.5816,0.00532112,0.0138349,0.0138349,9.05449,25.1982,40.827
-0.105345,0.430956,9.39964,0.00957802,0.0159634,0.0106422,9.05449,25.1982,40.827
-0.0814029,0.440533,9.52892,0.00957802,0.0117065,0.00638535,9.05449,25.1982,40.827
0.0191536,0.411803,9.57202,0.00319267,0.0106422,0.00744957,9.05449,25.1982,40.827
-0.11971,0.397437,9.51456,0.00532112,0.0170276,0.00957802,9.05449,25.1982,40.827
-0.110133,0.502782,9.63906,0.0106422,0.0159634,0.0117065,9.05449,25.1982,40.827
-0.114922,0.373495,9.53371,0.00638535,0.0138349,0.0042569,9.05449,25.1982,40.827
-0.11971,0.426168,9.52413,0.00532112,0.0138349,0.00638535,9.05449,25.1982,40.827
-0.100556,0.435745,9.57202,0.0042569,0.0138349,0.0127707,9.05449,25.1982,40.827
-0.0526724,0.430956,9.61033,0.00957802,0.0138349,0.0127707,9.05449,25.1982,40.827
-0.158017,0.383072,9.61033,0.00957802,0.0117065,0.00957802,9.05449,25.1982,40.827
-0.167594,0.373495,9.5385,0.00744957,0.0127707,0.00744957,9.05449,25.1982,40.827
-0.0670376,0.430956,9.50977,0.0042569,0.0159634,0.00532112,9.05449,25.1982,40.827
-0.134075,0.368707,9.65342,0.0042569,0.0148991,0.0106422,9.05449,25.1982,40.827
-0.0143652,0.383072,9.57202,0.0117065,0.0138349,0.00744957,9.05449,25.1982,40.827
-0.0574608,0.320823,9.46188,0.00851379,0.0138349,0.00957802,9.05449,25.1982,40.827
-0.110133,0.42138,9.4571,0.00319267,0.0148991,0.0127707,9.05449,25.1982,40.827
-0.0430956,0.435745,9.50498,0.0127707,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.100556,0.397437,9.54808,0.0138349,0.0106422,0.00851379,9.05449,25.1982,40.827
-0.148441,0.3304,9.45231,0.0106422,0.0138349,0.00638535,9.05449,25.1982,40.827
-0.158017,0.445322,9.56244,0.00744957,0.0159634,0.0106422,9.05449,25.1982,40.827
-0.110133,0.426168,9.61033,0.00851379,0.0106422,0.00851379,9.05449,25.1982,40.827
-0.129287,0.373495,9.50019,0.00638535,0.0138349,0.00744957,9.05449,25.1982,40.827
-0.124498,0.42138,9.55765,0.00532112,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.191536,0.363919,9.44752,0.00851379,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.114922,0.426168,9.43794,0.00957802,0.0180918,0.0042569,9.05449,25.1982,40.827
-0.023942,0.363919,9.56244,0.00851379,0.0127707,0.0106422,9.05449,25.1982,40.827
-0.023942,0.402226,9.39485,0.00638535,0.0148991,0.00851379,9.05449,25.1982,40.827
-0.0670376,0.397437,9.51456,0.00957802,0.0127707,0.00851379,9.05449,25.1982,40.827
-0.129287,0.387861,9.52892,0.00744957,0.0117065,0.00851379,9.05449,25.1982,40.827
-0.134075,0.397437,9.46667,0.00744957,0.0106422,0.00851379,9.05449,25.1982,40.827
-0.124498,0.373495,9.663,0.00319267,0.0106422,0.0117065,9.05449,25.1982,40.827
